#time   deltaF       REWdeltaF
267000  3.642826214  2.995577623
268000  3.709619957  3.001606724
269000  3.768928206  3.005592716
270000  3.839687049  3.011960197
271000  3.906843092  3.018276685
272000  3.859685198  3.013795378
273000  3.767068552  3.009445602
274000  3.688626628  3.006552272
275000  3.609885563  3.000360230
276000  3.532675018  2.997018833
277000  3.472843353  2.993084325
278000  3.385644141  2.987986518
279000  3.325077096  2.986013775
280000  3.242578997  2.981705946
281000  3.311664156  2.991447996
282000  3.381666203  3.000202972
283000  3.452779211  3.008360781
284000  3.527953527  3.015465740
285000  3.598083470  3.023496089
286000  3.538720424  3.020185162
287000  3.467259782  3.015886586
288000  3.403893059  3.013612444
289000  3.329052046  3.009703018
290000  3.262127169  3.004022830
291000  3.185523523  2.998525366
292000  3.114000435  2.988657441
293000  3.129801885  2.987054793
294000  3.072532736  2.983252204
295000  3.001346760  2.978184457
296000  2.933806174  2.971487254
297000  2.860414922  2.961585578
298000  2.792001035  2.949734578
299000  2.755461023  2.942544179
300000  2.685291089  2.928209575
301000  2.697024874  2.930114245
302000  2.768128664  2.938761418
303000  2.783628783  2.937059136
304000  2.840326009  2.939816671
305000  2.907305650  2.949785871
306000  2.975273697  2.957499005
307000  3.040063118  2.962471041
308000  3.106111888  2.973182535
309000  3.174246902  2.979802500
310000  3.239323503  2.985559749
311000  3.304115409  2.992166754
312000  3.372640140  2.999586349
313000  3.434915335  3.009538004
314000  3.497302033  3.013375684
315000  3.536170313  3.016807596
316000  3.596459773  3.021398113
317000  3.658364953  3.027854686
318000  3.711081061  3.032541191
319000  3.771405680  3.038338006
320000  3.830232526  3.043649908
321000  3.888342256  3.051454024
322000  3.866273945  3.054744750
323000  3.804359331  3.052449306
324000  3.746987930  3.049116997
325000  3.691199079  3.047534771
326000  3.627503955  3.044194289
327000  3.630935111  3.045521569
328000  3.590262490  3.045135779
329000  3.532595292  3.040046379
330000  3.468268630  3.036576346
331000  3.413471078  3.032501568
332000  3.350515484  3.028218124
333000  3.369311810  3.032141085
334000  3.425263636  3.035480025
335000  3.485566159  3.040318335
336000  3.541009091  3.044340012
337000  3.600698848  3.050731072
338000  3.655394429  3.057878434
339000  3.711018034  3.061785445
340000  3.764079984  3.066150083
341000  3.710182940  3.064093662
342000  3.695104926  3.064460810
343000  3.659481144  3.060803046
344000  3.593471914  3.057814485
345000  3.529741386  3.053921839
346000  3.471707238  3.051301263
347000  3.411783940  3.047006885
348000  3.349589927  3.044121307
349000  3.347220084  3.041851634
