#time   deltaF       REWdeltaF
702000  3.703266578  3.380114066
703000  3.705046578  3.384075027
704000  3.706876578  3.387030775
705000  3.708746578  3.390225541
706000  3.710656577  3.392680470
707000  3.712626577  3.396829732
708000  3.714626577  3.399017991
709000  3.716676577  3.400714043
710000  3.718766576  3.402653430
711000  3.720896576  3.405794647
712000  3.723076576  3.407728773
713000  3.725306575  3.411092731
714000  3.727566575  3.413492015
715000  3.729876575  3.416120246
716000  3.732206575  3.417030528
717000  3.734506574  3.413264400
718000  3.736766574  3.413677244
719000  3.739056574  3.417000921
720000  3.741396573  3.419840439
721000  3.743766573  3.422912280
722000  3.746166573  3.422578260
723000  3.748516573  3.420597619
724000  3.750796572  3.418135028
725000  3.753066572  3.420475535
726000  3.755376572  3.422585172
727000  3.757726571  3.423929882
728000  3.760036571  3.420282517
729000  3.762286571  3.416900527
730000  3.764476571  3.414496007
731000  3.766616570  3.412814172
732000  3.768696570  3.408767878
733000  3.770716570  3.405212024
734000  3.772676570  3.401437202
735000  3.774616569  3.403308284
736000  3.776586569  3.406793264
737000  3.778596569  3.410499388
738000  3.780646569  3.413956061
739000  3.782746568  3.417183742
740000  3.784876568  3.419025547
741000  3.787056568  3.420857009
742000  3.789266567  3.420848135
743000  3.791446567  3.417390343
744000  3.793576567  3.414174730
745000  3.795646567  3.411665574
746000  3.797746566  3.413722695
747000  3.799876566  3.415093627
748000  3.802056566  3.417585933
749000  3.804266566  3.420984506
750000  3.806516565  3.423470666
751000  3.808796565  3.422804441
752000  3.811026565  3.420792493
753000  3.813206564  3.418555824
754000  3.815326564  3.415453215
755000  3.817386564  3.413249442
756000  3.819406564  3.409501090
757000  3.821356563  3.406656220
758000  3.823316563  3.408230138
759000  3.825306563  3.409806414
760000  3.827346563  3.412282145
761000  3.829416562  3.416087929
762000  3.831526562  3.418981389
763000  3.833676562  3.421427948
764000  3.835856562  3.424318834
765000  3.838086561  3.426756205
766000  3.840346561  3.428306592
767000  3.842646561  3.431839411
768000  3.844926560  3.429916034
769000  3.847146560  3.426942301
770000  3.849316560  3.423556466
771000  3.851426560  3.420820877
772000  3.853496559  3.417681397
773000  3.855506559  3.415388986
774000  3.857456559  3.412273509
775000  3.859356559  3.409594549
776000  3.861206558  3.407125670
777000  3.863006558  3.404252348
778000  3.864756558  3.401406874
779000  3.866446558  3.398963141
780000  3.868096558  3.395532986
781000  3.869686557  3.392911647
782000  3.871236557  3.389704934
783000  3.872746557  3.390906156
784000  3.874286557  3.391211964
785000  3.875786557  3.389224469
786000  3.877246556  3.385267625
787000  3.878646556  3.382715169
788000  3.879996556  3.379972197
789000  3.881296556  3.377037845
790000  3.882556556  3.374517084
791000  3.883766556  3.371421674
792000  3.884926555  3.368912055
793000  3.886076555  3.371524351
794000  3.887266555  3.374576336
795000  3.888496555  3.377837650
796000  3.889726555  3.376308064
797000  3.890906555  3.374394019
798000  3.892036555  3.372105838
799000  3.893126554  3.370780469
800000  3.894156554  3.367561909
801000  3.895146554  3.365869516
802000  3.896096554  3.363604744
803000  3.896996554  3.361908832
804000  3.897846554  3.360596115
805000  3.898656554  3.357415277
806000  3.899416554  3.354815293
807000  3.900126553  3.352959686
808000  3.900796553  3.349451544
809000  3.901416553  3.347054290
810000  3.901996553  3.344296874
811000  3.902526553  3.341370729
812000  3.903016553  3.338813459
813000  3.903466553  3.336812181
814000  3.903866553  3.333905737
815000  3.904216553  3.331915358
816000  3.904526553  3.329759501
817000  3.904796553  3.328146408
818000  3.905016553  3.324734110
819000  3.905196553  3.323298201
820000  3.905336553  3.319905067
821000  3.905426553  3.318300822
822000  3.905476553  3.316160941
823000  3.905486553  3.313857933
824000  3.905446553  3.311380619
825000  3.905376553  3.308730860
826000  3.905256553  3.305387599
827000  3.905096553  3.302400580
828000  3.904896553  3.299250161
829000  3.904646553  3.297555045
830000  3.904406553  3.301457831
831000  3.904206553  3.302838917
832000  3.903996553  3.301269239
833000  3.903746553  3.298660953
834000  3.903476553  3.299337791
835000  3.903226553  3.302552738
836000  3.903016553  3.300897535
837000  3.902766553  3.299335983
838000  3.902476553  3.296915820
839000  3.902146553  3.294666397
840000  3.901776553  3.292765857
841000  3.901366553  3.290013611
842000  3.900916553  3.288470721
843000  3.900426553  3.286580455
844000  3.899896554  3.284486308
845000  3.899386554  3.287061531
846000  3.898916554  3.288988844
847000  3.898476554  3.292398396
848000  3.898086554  3.294521999
849000  3.897736554  3.296645740
850000  3.897406554  3.299392340
851000  3.897056554  3.296827279
852000  3.896656554  3.295289303
853000  3.896226554  3.292044726
854000  3.895756554  3.291019535
855000  3.895266554  3.291929132
856000  3.894806554  3.293821454
857000  3.894366554  3.294072613
858000  3.893906554  3.293553509
859000  3.893456554  3.294814565
860000  3.893046554  3.296909673
861000  3.892666554  3.298019222
862000  3.892276554  3.296150040
863000  3.891836555  3.293611570
864000  3.891356555  3.292763972
865000  3.890846555  3.289388366
866000  3.890296555  3.287696715
867000  3.889716555  3.287357215
868000  3.889156555  3.289433170
869000  3.888646555  3.290888387
870000  3.888136555  3.290047192
871000  3.887596555  3.287181207
872000  3.887016555  3.285668864
873000  3.886396555  3.281970767
874000  3.885736555  3.280461986
875000  3.885046555  3.278615603
876000  3.884316555  3.275781949
877000  3.883556556  3.273947411
878000  3.882746556  3.271113862
879000  3.881916556  3.268954552
880000  3.881036556  3.267130822
881000  3.880126556  3.266514604
882000  3.879236556  3.270042959
883000  3.878376556  3.272322535
884000  3.877556556  3.274798459
885000  3.876776556  3.276863510
886000  3.876026557  3.277923415
887000  3.875246557  3.276272139
888000  3.874426557  3.274118390
889000  3.873596557  3.276215367
890000  3.872806557  3.278063539
891000  3.872056557  3.281131528
892000  3.871336557  3.283375748
893000  3.870656557  3.285411832
894000  3.870016557  3.288251827
895000  3.869416557  3.289870782
896000  3.868856557  3.292288299
897000  3.868326557  3.293396259
898000  3.867786558  3.291890668
899000  3.867206558  3.289062647
900000  3.866596558  3.286246371
901000  3.865946558  3.284752999
902000  3.865266558  3.282768115
903000  3.864546558  3.281550407
904000  3.863846558  3.283362137
905000  3.863186558  3.286172628
906000  3.862556558  3.288970182
907000  3.861966558  3.290767863
908000  3.861416558  3.290932095
909000  3.860846558  3.288779765
910000  3.860246559  3.286466137
911000  3.859606559  3.284320361
912000  3.858926559  3.283166379
913000  3.858226559  3.281849951
914000  3.857486559  3.278728061
915000  3.856706559  3.276919545
916000  3.855896559  3.275119099
917000  3.855056559  3.272332137
918000  3.854196559  3.273193629
919000  3.853366559  3.274587004
920000  3.852576559  3.276372609
921000  3.851806560  3.275222233
922000  3.851006560  3.271620027
923000  3.850176560  3.269662978
924000  3.849306560  3.267208310
925000  3.848406560  3.264602328
926000  3.847476560  3.261682361
927000  3.846506560  3.259092108
928000  3.845526560  3.261078951
929000  3.844576560  3.262464073
930000  3.843666561  3.263845961
931000  3.842786561  3.266211950
932000  3.841946561  3.265434551
